pathway,k,z_meta,delta_mean,concord,P_meta,FDR_meta
GOBP_HISTONE_METHYLATION,4,-4.28186410182663,-0.125426202717852,1,1.853341626906e-05,0.000581881465667013
GOBP_AXONAL_TRANSPORT,4,4.27056663754682,0.146106715458474,1,1.94976950909543e-05,0.000608446254686811
GOBP_ENGULFMENT_OF_APOPTOTIC_CELL,3,4.26669376762821,0.170092064944282,1,1.98391186714373e-05,0.0006153712171038
GOBP_PYRIMIDINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS,3,-4.26366180716039,-0.226382238332961,1,2.01103750555952e-05,0.000620049827312931
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING,4,4.24784887069136,0.107730014168684,0.75,2.15832906196369e-05,0.000661502163098276
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,4,-4.23745373804791,-0.136816369738349,1,2.26068980692071e-05,0.000685741719237908
REACTOME_RECOGNITION_OF_DNA_DAMAGE_BY_PCNA_CONTAINING_REPLICATION_COMPLEX,4,-4.23711984168293,-0.195813059156679,1,2.26405306409875e-05,0.000685741719237908
GOBP_REGULATION_OF_RUFFLE_ASSEMBLY,4,4.23415787273415,0.139342668795549,1,2.29409746366953e-05,0.000690778236282715
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,4,4.22940810278103,0.0943595037703381,0.75,2.3430696526034e-05,0.000701422421003193
KEGG_TYPE_II_DIABETES_MELLITUS,4,-4.21966836938903,-0.11672393181044,1,2.44661946645771e-05,0.000728187493224898
GOBP_POSITIVE_REGULATION_OF_BROWN_FAT_CELL_DIFFERENTIATION,2,-4.21360233900966,-0.187778250283489,0.5,2.51329628880311e-05,0.000743733482244094
GOBP_NUCLEOTIDE_TRANSPORT,4,4.21092923738252,0.122515794034976,0.75,2.54322406498137e-05,0.000748289183462234
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY,4,-4.20568736157176,-0.184561757329614,1,2.60289847495282e-05,0.000761495695882505
GOBP_NEURON_RECOGNITION,4,4.20230341393132,0.218005073262653,1,2.64212669655444e-05,0.000767804416960552
GOBP_MUCOPOLYSACCHARIDE_METABOLIC_PROCESS,4,4.20126421156712,0.0974100323143474,0.75,2.65428600153386e-05,0.000767804416960552
GOBP_PROTEIN_TARGETING_TO_LYSOSOME,4,4.18218622395088,0.173285417830486,0.75,2.88719328123785e-05,0.000830511631569479
