pathway,k,z_meta,delta_mean,concord,P_meta,FDR_meta
GOBP_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY,3,-3.41877652094685,-0.0318379086745327,0.666666666666667,0.000629033665299799,0.0419573624023346
GOBP_POSITIVE_REGULATION_OF_GLYCOPROTEIN_METABOLIC_PROCESS,3,-3.39077869258208,-0.117319034217236,0.666666666666667,0.000696943545127921,0.0458910518945769
GOBP_CD40_SIGNALING_PATHWAY,2,3.379833001121,0.251409357308863,1,0.000725298852170522,0.0471536063892127
REACTOME_COPI_INDEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,3,-3.36992580217393,-0.0263512569221824,0.333333333333333,0.00075188426268178,0.0482709696641703
GOBP_NEGATIVE_REGULATION_OF_PHOSPHATASE_ACTIVITY,3,-3.36059986353707,-0.0696345674246086,0.666666666666667,0.000777734091890106,0.0487888561274153
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS,3,-3.36016838685531,-0.0508780494597918,0.666666666666667,0.000778949805772597,0.0487888561274153
GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION,3,-3.34735450464067,-0.0133037341325904,0.333333333333333,0.000815868027690537,0.0491450173700034
REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING,3,-3.34607553566817,-0.0922892608114539,1,0.000819640641847978,0.0491450173700034
GOBP_NEGATIVE_REGULATION_OF_MACROAUTOPHAGY,3,-3.34338866657628,-0.0308465068177628,0.666666666666667,0.00082761895644625,0.0491450173700034
GOBP_MYELOID_CELL_HOMEOSTASIS,3,-3.34218993677492,-0.0411068634354043,0.666666666666667,0.000831201621225,0.0491450173700034
GOBP_MITOCHONDRIAL_TRANSCRIPTION,2,-3.34176341180401,-0.282886175578167,1,0.000832479850309636,0.0491450173700034
GOBP_GMP_METABOLIC_PROCESS,3,3.33595554792299,0.157648410122988,1,0.000850067548946856,0.0494125588801747
GOBP_PEPTIDYL_SERINE_DEPHOSPHORYLATION,3,-3.33198097216116,0.0191797379483468,0.666666666666667,0.000862301517872008,0.0494125588801747
GOBP_FACE_DEVELOPMENT,3,-3.33083011639231,-0.0908791391840807,1,0.000865874279442313,0.0494125588801747
GOBP_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY,3,-3.32383982898545,-0.0780105197603291,1,0.000887871741664121,0.0501110908262299
GOBP_REGULATION_OF_MICROTUBULE_BASED_MOVEMENT,3,3.31782691939532,0.112829132920986,1,0.000907206813484995,0.0506458064571624
GOBP_NUCLEUS_LOCALIZATION,3,-3.30073265988939,-0.183607725073273,1,0.000964327219572161,0.0529072303899148
REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC,3,-3.29747401138768,-0.0250481334265908,0.666666666666667,0.000975587025976251,0.0529072303899148
REACTOME_SIGNALING_BY_ALK_IN_CANCER,3,-3.28849590062177,-0.00389825393808674,0.666666666666667,0.00100724251317451,0.0529072303899148
GOBP_REGULATION_OF_RESPONSE_TO_FOOD,2,3.2879084040564,0.278678358166829,1,0.00100934672820606,0.0529072303899148
GOBP_ERYTHROCYTE_HOMEOSTASIS,3,-3.28470614418811,-0.0678007363427524,1,0.00102088785770234,0.0529072303899148
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,3,-3.28382929884276,0.0301950863930305,0.666666666666667,0.0010240692927228,0.0529072303899148
GOBP_GLYCEROPHOSPHOLIPID_CATABOLIC_PROCESS,3,3.2829396621546,0.127684075601116,1,0.00102730651393203,0.0529072303899148
GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_DEPOLYMERIZATION,3,-3.27982754718509,-0.0608100180372275,0.666666666666667,0.00103870557782171,0.0529072303899148
GOBP_INNATE_IMMUNE_RESPONSE_ACTIVATING_SIGNAL_TRANSDUCTION,3,-3.27936047050203,-0.134463160951918,1,0.00104042645431881,0.0529072303899148
REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,3,-3.27522511704355,-0.116515239663135,1,0.00105577805340257,0.0530164051722659
GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION,2,3.27267685055003,0.281106863109085,1,0.00106534201807049,0.0530164051722659
REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC,3,-3.27050909126692,-0.0432532617567135,1,0.0010735409147032,0.0530164051722659
