pathway,family
REACTOME_GAMMA_CARBOXYLATION_HYPUSINE_FORMATION_AND_ARYLSULFATASE_ACTIVATION,251
REACTOME_SIGNALING_BY_EGFR_IN_CANCER,212
REACTOME_PKA_ACTIVATION_IN_GLUCAGON_SIGNALLING,197
REACTOME_NEF_MEDIATES_DOWN_MODULATION_OF_CELL_SURFACE_RECEPTORS_BY_RECRUITING_THEM_TO_CLATHRIN_ADAPTERS,252
REACTOME_THE_ROLE_OF_NEF_IN_HIV_1_REPLICATION_AND_DISEASE_PATHOGENESIS,252
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,225
REACTOME_MTOR_SIGNALLING,253
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF,254
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_PLASMA_MEMBRANE,230
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_GOLGI_MEMBRANE,255
REACTOME_SYNTHESIS_OF_PIPS_AT_THE_EARLY_ENDOSOME_MEMBRANE,255
REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS,59
REACTOME_GLYCOSPHINGOLIPID_METABOLISM,256
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,257
REACTOME_MTORC1_MEDIATED_SIGNALLING,253
REACTOME_SIGNALING_BY_NTRKS,258
REACTOME_COMPLEMENT_CASCADE,259
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,259
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,259
REACTOME_SIGNALLING_TO_RAS,260
REACTOME_HIV_TRANSCRIPTION_INITIATION,65
REACTOME_HIV_TRANSCRIPTION_ELONGATION,200
REACTOME_TRANSCRIPTION_OF_THE_HIV_GENOME,65
REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT,200
REACTOME_HIV_ELONGATION_ARREST_AND_RECOVERY,200
REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE,257
REACTOME_TOLL_LIKE_RECEPTOR_TLR1_TLR2_CASCADE,257
REACTOME_INFLUENZA_INFECTION,115
REACTOME_EXPORT_OF_VIRAL_RIBONUCLEOPROTEINS_FROM_NUCLEUS,206
REACTOME_NS1_MEDIATED_EFFECTS_ON_HOST_PATHWAYS,206
REACTOME_VIRAL_MESSENGER_RNA_SYNTHESIS,206
REACTOME_NOD1_2_SIGNALING_PATHWAY,261
REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS,261
REACTOME_TOLL_LIKE_RECEPTOR_CASCADES,257
REACTOME_TICAM1_RIP1_MEDIATED_IKK_COMPLEX_RECRUITMENT,262
REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA,159
REACTOME_REGULATION_OF_GLUCOKINASE_BY_GLUCOKINASE_REGULATORY_PROTEIN,206
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,263
REACTOME_TELOMERE_EXTENSION_BY_TELOMERASE,264
REACTOME_APC_C_CDC20_MEDIATED_DEGRADATION_OF_CYCLIN_B,223
REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,120
REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,120
REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE,118
REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE,118
REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS,118
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,265
REACTOME_ASSEMBLY_OF_THE_HIV_VIRION,266
REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS,206
REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,267
REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE,223
REACTOME_PHOSPHORYLATION_OF_THE_APC_C,223
REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS,206
REACTOME_SIGNALING_BY_EGFR,268
REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM,250
REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A,223
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,115
REACTOME_DARPP_32_EVENTS,269
REACTOME_GAB1_SIGNALOSOME,270
REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN,206
REACTOME_EXTENSION_OF_TELOMERES,118
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1,242
REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE,198
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE,198
REACTOME_EGFR_DOWNREGULATION,268
REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA,271
REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS,272
REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION,272
REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION,201
REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE,273
REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL,103
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,177
REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION,274
