pathway,z_OA,FDR_OA,z_MSC,FDR_MSC,same_dir,score
GOBP_NEUROEPITHELIAL_CELL_DIFFERENTIATION,2.39299064088367,0.07158766662754,3.36426981741715,0.0664886793530813,TRUE,2.79670035594072
GOBP_POSITIVE_REGULATION_OF_ACTIVATED_T_CELL_PROLIFERATION,2.52427102316363,0.0559482071261346,3.09134972601482,0.0900498387395296,TRUE,2.77917789835991
GOBP_TETRAHYDROFOLATE_METABOLIC_PROCESS,-2.86782440842445,0.0269380587838676,-2.69509544746318,0.135027050555166,TRUE,2.77877830617614
GOBP_PEPTIDYL_GLUTAMIC_ACID_MODIFICATION,2.77032666246971,0.0329160394334771,2.76754736461443,0.125037116367193,TRUE,2.7689363161177
GOBP_COENZYME_A_METABOLIC_PROCESS,-3.35342479820435,0.00901858677307941,-2.33937123785557,0.196064466615923,TRUE,2.75608171153115
REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION,2.94242338718161,0.0231336705311769,2.58548668389466,0.148199359551676,TRUE,2.75243134860083
REACTOME_HATS_ACETYLATE_HISTONES,-2.92963334697045,0.0237093055330006,-2.59218906114137,0.147974141388155,TRUE,2.75060041917161
GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND,3.53545509742258,0.00563446518084144,2.21985154591604,0.221373856858645,TRUE,2.72728664166453
GOBP_RNA_STABILIZATION,-3.94800476532332,0.00173405197505263,-2.08021517381834,0.254649572126265,TRUE,2.72475108806401
REACTOME_NCAM_SIGNALING_FOR_NEURITE_OUT_GROWTH,4.11123157146411,0.00104995375768192,2.03641479192454,0.262841708977822,TRUE,2.72370019037394
GOBP_INTRACILIARY_TRANSPORT,-2.95674089147213,0.0224211737569767,-2.51785954148527,0.160002519536656,TRUE,2.71970835368203
GOBP_COLLAGEN_FIBRIL_ORGANIZATION,4.43063394264061,0.000355721942902685,1.95478272951553,0.285302146861687,TRUE,2.71272092536905
GOBP_POSITIVE_REGULATION_OF_HEART_RATE,2.59559713748504,0.0481389225785963,2.82607335978899,0.12208639208908,TRUE,2.70593645507568
REACTOME_MEIOSIS,-3.14542973479225,0.014672263709845,-2.37047270171253,0.188908627853438,TRUE,2.70351240157344
REACTOME_ANTIMICROBIAL_PEPTIDES,2.99204393643387,0.0206793076197733,2.45437519307644,0.171874473416107,TRUE,2.69667032211615
GOBP_REGULATION_OF_MRNA_PROCESSING,-4.11619898748522,0.00103835057227076,-2.00431930349186,0.269962079030299,TRUE,2.6959079919074
GOBP_GLYCOSIDE_METABOLIC_PROCESS,3.42267655138028,0.00756583500631644,2.22293587922891,0.221373856858645,TRUE,2.69532866542796
REACTOME_SUMOYLATION,-3.06432427312222,0.0176835965605651,-2.40102539022984,0.183339523499088,TRUE,2.69242439619186
GOBP_EMBRYO_IMPLANTATION,2.48505599626719,0.0601402539978605,2.93279173556856,0.108056455819364,TRUE,2.69042322671849
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING,3.16151182162788,0.01415320756622,2.32982046150704,0.198189531990897,TRUE,2.68268411072004
GOBP_RNA_DECAPPING,-3.12194662125487,0.0154407680660891,-2.34533152639617,0.194293933216913,TRUE,2.67848082238174
GOBP_VESICLE_DOCKING_INVOLVED_IN_EXOCYTOSIS,3.09094416661591,0.0166504762938177,2.35094986092037,0.193509980389777,TRUE,2.67063442318011
GOBP_LIPID_EXPORT_FROM_CELL,3.26769899208183,0.0109039744123367,2.25663891315616,0.21220935720825,TRUE,2.66964723320825
GOBP_MRNA_TRANSPORT,-3.36652737835969,0.0087293354281337,-2.20247800809124,0.225621139656703,TRUE,2.66284623552845
GOBP_THYROID_HORMONE_METABOLIC_PROCESS,4.58641346660197,0.000209509098557553,1.8756907842389,0.302171873240266,TRUE,2.662505319655
GOBP_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_ACTIVITY,-2.78669688987715,0.0318068781084125,-2.53322559852635,0.155722397457039,TRUE,2.65392283897319
GOBP_TOOTH_MINERALIZATION,4.03456142466599,0.00133129056618213,1.97293359556278,0.278807336049417,TRUE,2.64999696255497
REACTOME_SHC_MEDIATED_CASCADE_FGFR1,4.4877303355942,0.000294171218951356,1.87823292559844,0.302171873240266,TRUE,2.6481468810553
GOBP_REGULATION_OF_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION,-2.30254620224599,0.0842188601202675,-3.1042564631293,0.0890665973803,TRUE,2.6439633078341
KEGG_PHENYLALANINE_METABOLISM,2.03492275622727,0.132389537805297,3.76030760489002,0.0508236278089835,TRUE,2.64077009498892
GOBP_REGULATION_OF_RUFFLE_ASSEMBLY,4.23415787273415,0.000690778236282715,1.90573587745543,0.294902107452341,TRUE,2.62844501784113
REACTOME_FRS_MEDIATED_FGFR2_SIGNALING,4.44104963604282,0.000341440262043074,1.86641978954782,0.305218527255941,TRUE,2.62826891984444
GOBP_POSITIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS,-3.21820771179088,0.0122544648793965,-2.21984465110929,0.221373856858645,TRUE,2.62738226792937
REACTOME_REPRODUCTION,-3.08709537397817,0.0167859671615628,-2.28613463515945,0.206240838734121,TRUE,2.62691738283681
GOBP_PHOSPHATIDYLSERINE_METABOLIC_PROCESS,2.12669233592681,0.114255450768406,3.42046123161533,0.0664886793530813,TRUE,2.62270319292214
GOBP_RESPONSE_TO_AMINO_ACID_STARVATION,-4.82878146489251,8.73239015209611e-05,-1.79647483148318,0.327993076200184,TRUE,2.61870152047019
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,-5.02259254427491,4.37481520947499e-05,-1.76531842647367,0.336511173129762,TRUE,2.61243118988638
GOBP_REGULATION_OF_LIPID_TRANSPORT,2.52179444370998,0.0560750561570787,2.70248237223774,0.133893640219892,TRUE,2.60901375276646
GOBP_G_PROTEIN_COUPLED_ACETYLCHOLINE_RECEPTOR_SIGNALING_PATHWAY,2.4470641800862,0.064151122290102,2.79197729335144,0.125037116367193,TRUE,2.60816703239089
REACTOME_METABOLISM_OF_ANGIOTENSINOGEN_TO_ANGIOTENSINS,3.41370458497759,0.00774598432235315,2.10723377330881,0.248977678776554,TRUE,2.60588803088779
REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION,-2.61439140634906,0.0462564273301005,-2.59640033714905,0.14796428194666,TRUE,2.6053648132663
GOBP_CELL_FATE_COMMITMENT_INVOLVED_IN_FORMATION_OF_PRIMARY_GERM_LAYER,-3.54607522755862,0.00547459826552679,-2.05599095610994,0.257673281864174,TRUE,2.60286057269379
GOBP_PLASMA_MEMBRANE_REPAIR,2.9071433584881,0.0248094734369839,2.35256219393369,0.193061531121921,TRUE,2.60061537261357
