gene,meta_Z,meta_P,meta_FDR,mean_logFC,n_consistent
ZNF205,-1.54747988088089,0.121747572230622,0.451369517860416,-0.333594671521351,2
UBE2Z,1.54724333080116,0.121804580972373,0.451452510318014,0.169004662969789,3
VDAC1,-1.5464253188989,0.122001883329299,0.451978319987507,0.121129752636927,2
NELFA,-1.54636776450078,0.122015774703277,0.451978319987507,0.0157122812551828,2
NECAP1,-1.54592696324934,0.122122207835345,0.45200897651847,0.0343447165897663,2
DAZAP2,1.54562478511986,0.122195211803813,0.45200897651847,0.0471880082669321,3
KDM5B,1.54545913426953,0.122235246277951,0.45200897651847,0.149985277516984,2
FADD,-1.54526977240784,0.12228102378231,0.45200897651847,-0.135525785609133,3
MRPL48,1.54516687566079,0.122305904294226,0.45200897651847,0.0329370603546225,2
ACAP1,-1.54515857994089,0.122307910377952,0.45200897651847,-0.0490844819425384,2
CALM1,-1.54493214143788,0.122362678015578,0.45200897651847,-0.142176546322125,2
SUPT6H,1.54477365350175,0.122401022162328,0.45200897651847,0.434560544712565,3
WWP2,-1.54474810253045,0.122407204774686,0.45200897651847,-0.226084092885148,2
CCN4,1.54447949069321,0.122472216010553,0.45200897651847,-0.00376568308330961,2
DPPA4,-1.544310577209,0.122513111398585,0.45200897651847,-0.174083057928079,3
HEATR1,-1.54426390086376,0.122524414019291,0.45200897651847,-0.413091784409154,3
IRX4,-1.54422255718572,0.122534426021488,0.45200897651847,-0.391190369568539,3
H2BC12L,1.54418466345152,0.122543603128606,0.45200897651847,0.0694203647991139,2
ERVH-6,1.54417156257868,0.122546776023801,0.45200897651847,-0.141903253761678,2
GRP,-1.54403974065132,0.122578705496534,0.45200897651847,-0.270772275473915,3
ATP11A,-1.54334873934482,0.122746183904631,0.452146776471544,-0.406376250596547,2
EXTL1,1.54322926479449,0.122775159141291,0.452146776471544,0.300655852274036,3
TTLL4,1.54297531654393,0.122836764990434,0.452146776471544,0.314641813190246,3
