gene,meta_Z_OA,meta_P_OA,meta_FDR_OA,mean_logFC_OA,meta_Z_OP,meta_P_OP,meta_FDR_OP,mean_logFC_OP,same_direction,shared_score
FAAH,0.890160260831012,0.373379839388331,0.604151825697496,0.0491130513227388,-0.298386885423401,0.765407897352407,0.92135834320329,-0.0374310088901439,FALSE,0.543956196555917
SDHD,0.555712733699313,0.578407250208392,0.764625638065427,0.0934205937483894,-0.683716954723741,0.494153915103294,0.791099519292815,-0.16610651267023,FALSE,0.543904031332015
MOGAT2,0.855841254846533,0.392085592369976,0.61937826393397,0.228247706350803,0.345919672365745,0.729403083889277,0.908215692149784,0.385139287285041,TRUE,0.543651520887498
OR1E1,0.985946776806152,0.324159231025834,0.558552881407092,0.261788969335725,-0.14808042942172,0.882279294218602,0.964861168943752,0.183351909718469,FALSE,0.543635519455371
TOP3B,0.46689865400266,0.640572388340291,0.803004608424793,0.0702198892091965,-0.761188327449267,0.446544589132195,0.761543852834098,-0.00489210231883369,FALSE,0.543566954084499
PAGE1,1.02409592160347,0.305789970571555,0.537971215328003,0.00244669724769128,-0.0808992397460457,0.935522084580112,0.981493590838903,-0.0150048097864446,FALSE,0.543522718651354
SMC2,0.116811958234522,0.907009067329233,0.955245733545817,0.42772209572621,-1.00366347684342,0.315540847067769,0.660089379899991,-0.136472809315936,FALSE,0.543332784235666
CSDC2,-0.445303156589823,0.656100687008743,0.811356567952884,-0.512523339527747,0.777954019288425,0.436596120608153,0.753511160371901,0.280473639839104,FALSE,0.54294963503921
RPL31,0.334037265327252,0.738351438480317,0.860838881647532,0.0850234931116769,0.862864649188584,0.388211889019897,0.717582521005811,0.0199325546351193,TRUE,0.542668043117599
DDB1,-0.350630041514121,0.725865915816928,0.854956234069835,0.0450079755570562,0.848604242895769,0.396101545254625,0.722749517013023,0.164184569125387,FALSE,0.541337059443885
ELAVL1,0.63601903271885,0.524764016850133,0.726161355162092,0.183293787197102,-0.600776909678908,0.547988585373346,0.822519070413613,-0.15207505172153,FALSE,0.541264440046123
KPNA1,-0.461431145128068,0.644489310726435,0.805348274831631,0.0475036234171263,0.761740054430431,0.446215164330135,0.761543852834098,-0.0937231298535996,FALSE,0.541239955894569
PRKAA1,-0.937376973801737,0.348564681059797,0.580779837237071,-0.252984455439441,0.21924862698625,0.826456377968163,0.945675500048024,-0.387471393088499,FALSE,0.540496685087295
ABCA3,-0.272014244792435,0.78561106642477,0.887882032558654,0.0703960695410536,-0.902459728218765,0.366812705044313,0.702085418687306,-0.15455745980105,TRUE,0.540348037912465
TRABD,-0.531094647264949,0.595353193312295,0.774863883305429,-0.0763881704389194,0.699225938330299,0.484410842989129,0.784663164986439,0.600622539213446,FALSE,0.540011456822798
PLXNB3,-0.571651857540016,0.567557855775928,0.757632224183338,-0.0509815534936185,-0.661410434419166,0.508349136086088,0.799141138327631,0.292795963062531,TRUE,0.539827770886998
UCHL5,-0.812895004500824,0.416278258886153,0.638769291383029,-0.0385719731185821,0.394371839599291,0.69330653135986,0.894186811879531,-0.0238032724606183,FALSE,0.539690979044163
MAGEA8,0.413727290267779,0.679073838552689,0.826332725475515,0.0432526874788829,-0.797572348933224,0.425118702517386,0.744391052827318,-0.338030076244669,FALSE,0.539572788906854
LANCL1,0.74121185282916,0.458564997796888,0.674209759929492,0.146817975101959,-0.482086330292051,0.629744620117239,0.860093211357266,-0.15640795007857,FALSE,0.539434631953123
ESRRB,-0.246476648424202,0.805313278807786,0.899585732955709,0.320215173333881,-0.917400311121001,0.358932909777803,0.695205913635289,-0.627583071756985,TRUE,0.539021860093098
DPYD,-1.02394774892733,0.305859955269133,0.538006715000354,-0.147737846192862,0.0689009192049473,0.945068486840304,0.98495308128133,0.000356064317725856,FALSE,0.539014097395242
PSMD12,-0.893992464996892,0.371325922717117,0.602122006052769,-0.176253394994902,0.281246389101551,0.778521426572404,0.928715904199912,-0.0843839931237419,FALSE,0.538974161305883
ACSL5,-0.466245715648094,0.641039629979718,0.803307434227485,0.0900613159650767,-0.753761829982431,0.450992247569434,0.763204142252804,-0.294227927395166,TRUE,0.538946044408515
REEP2,-0.876023614244328,0.381017196408127,0.609650089705316,0.0681817264065204,-0.306727056837597,0.759051133475768,0.918618202880665,0.34347449107124,TRUE,0.538784389789398
CAD,-0.800457556118896,0.423445745404307,0.644597088762307,0.0748156364626305,0.407906359847711,0.683342423408916,0.889160338247637,0.173491907261015,FALSE,0.538563842852913
C6orf62,1.04489805017615,0.296070091060977,0.527588480442529,-0.00501591639639493,-0.0280537710132931,0.977619264933585,0.994056255955111,-0.343880739789236,FALSE,0.538435711557297
USP6NL,-0.962148413542538,0.335975057826905,0.570030192724386,-0.0367826493889541,0.173089514825513,0.862581066514904,0.957364678138828,0.0163477706573822,FALSE,0.537893041404638
CKAP5,0.0276389475774291,0.977950117846342,0.990234080706429,0.0200587222892877,1.04424451752881,0.296372275197435,0.645529304195668,0.0927220052608121,TRUE,0.537845722474575
ANGPTL3,1.04570591073032,0.295696833013456,0.527256056489163,-0.0767076912773329,-0.0247538616171313,0.980251292864813,0.994901269375286,-0.308477120233062,FALSE,0.537815903082113
GSS,0.467625255048368,0.640052601231251,0.802815629180211,0.168524694216072,-0.748457880271771,0.454184021651196,0.765624493640588,-0.0845365362098479,FALSE,0.536552481545192
C22orf31,0.818437551391961,0.413107386967647,0.635788170048942,0.423127923544017,0.380049788528735,0.703908457090132,0.898772265178049,0.0548426483956166,TRUE,0.536420856075391
SMUG1,0.794392118192294,0.426967191222488,0.647403088094514,0.231838987138345,0.410657937990714,0.681323373490641,0.888199906713104,-0.191931699496915,TRUE,0.536252207401549
PCDHB11,-0.395222719489006,0.692678526971446,0.833034229386057,0.0276804282688137,0.80618895690598,0.42013390515652,0.740988230668993,0.0718678974924536,FALSE,0.536080544400662
PIN1,0.639731237678105,0.522347343389574,0.724312709023643,0.0111445378904608,-0.586168650037231,0.557762186758302,0.826653771125245,0.117506945802911,FALSE,0.535591541609476
F10,0.753469678275466,0.451167725538939,0.668245409470947,0.183565009404349,0.458753443656742,0.646411230788628,0.86882258871284,0.370386101509763,TRUE,0.535153082049268
HTR3A,0.673988123150615,0.500318864572822,0.708500835751917,0.202177562416225,0.548181876967638,0.583567024834228,0.839236402717211,-0.0245994805489991,TRUE,0.534662378115127
OR1F2P,0.164442291858435,0.869382972606962,0.935444065756472,0.0812502186604625,-0.961492867462857,0.336304410052135,0.675366581262738,-0.169203829148724,FALSE,0.534056307607985
RPL7,0.219540299507602,0.826229190994851,0.911823428803268,-0.00565434702761991,0.926834192009004,0.354012629291114,0.690393459965126,-0.0283683268650933,TRUE,0.533880709673881
RAPGEF6,-0.805198296163042,0.420705259543997,0.641963301821479,-0.164162129689856,0.391156535413136,0.69568153363974,0.895046691408581,-0.183043129611733,FALSE,0.533611583036726
FOXD3,0.573439022519959,0.566347475035455,0.757045591552157,-0.132539848155123,0.647124084860398,0.517551638651795,0.805863164646657,-0.085569253737359,TRUE,0.532963343407749
GTF2H5,-0.457167324066118,0.647550782822249,0.805768293346139,0.018479396322427,0.749881702512824,0.453325955517356,0.764852652304843,0.087658526832475,FALSE,0.532315581643762
DCK,0.685610821915905,0.492958555432323,0.70282661314409,0.224468204196663,-0.530782454267085,0.595569540042165,0.846093160940928,0.0205675510052386,FALSE,0.532257113701236
CLEC4M,0.739154539265505,0.459813162234507,0.675125972333444,0.263033162315766,-0.469550149401754,0.638676447585536,0.865125929780574,-0.0659200526837556,FALSE,0.532137700116759
FES,-0.619647455742567,0.535489916131354,0.734204411818614,0.0580697746232995,-0.599825544800693,0.54862250711373,0.8228075535146,0.0562923099770846,TRUE,0.531975082535128
LRRTM2,0.656459386243415,0.511528590990124,0.716856751410913,0.41915689318226,0.561382454341021,0.574536842450047,0.834694806541077,-0.308056799459451,TRUE,0.531812203889048
APOH,-0.911073187283886,0.362256812859681,0.592983496364642,0.168784542032542,0.237482972425401,0.812282127451188,0.940065210601634,0.15085148219009,FALSE,0.531276540519891
