gene,meta_Z,meta_P,meta_FDR,mean_logFC,n_consistent
ZNF32,1.52063070319229,0.128352537430239,0.319212476167479,0.151327177353259,4
MYC,-1.5205007587262,0.128385168201681,0.319212476167479,-0.443587802028137,3
GINS1,1.52044118369672,0.128400130433966,0.319212476167479,0.808495772991332,2
PTP4A2,-1.5202975337604,0.128436213601996,0.319228711304364,-0.0913994239882495,3
COASY,-1.52016409967,0.128469737730432,0.319238579931937,-0.0551218442206181,3
TBC1D1,1.51935888418379,0.128672185335547,0.319633025373622,0.181899992038501,4
KRT83,1.51929740369272,0.128687652967032,0.319633025373622,0.12864972887015,3
CHRNE,-1.51914646353153,0.128725633528237,0.31963888105234,-0.147863659899164,2
THOC6,1.51905285639108,0.128749191951373,0.31963888105234,0.142339613377607,4
FCGR1A,1.51857786595892,0.128868786022764,0.319827632913538,0.534891825644572,3
KRTAP5-9,1.51847786694608,0.128893974975669,0.319827632913538,0.44357041720126,3
ATM,-1.51832749991211,0.128931858431401,0.319827632913538,0.0282292930292763,3
KEL,1.51828069131119,0.128943653151125,0.319827632913538,0.390413089634405,3
SHFM1,-1.51765827142414,0.129100568725801,0.32014332951701,0.0564638171607122,2
MCC,-1.51729020048012,0.129193431265181,0.320300079074245,-0.124376512061669,4
RANBP6,1.51692497371599,0.129285627507267,0.320455105170605,0.292125511778646,3
FASTKD2,-1.5154265828743,0.129664409685621,0.321320246254664,0.00588717924694155,3
MARK3,-1.51508743682078,0.129750262777496,0.321413912431953,-0.138547663190087,2
GLRA3,1.51504220044372,0.129761717470445,0.321413912431953,0.496451207389835,3
PSMD4,-1.51481895997608,0.129818257611063,0.32145835634187,-0.291084974740813,3
ANXA13,1.51472217809476,0.129842775512209,0.32145835634187,0.240745061516105,4
SLC19A3,1.51461892046107,0.129868937888902,0.32145835634187,0.0633558638763445,3
ITGA7,1.51417873974391,0.129980512342451,0.321660823441731,-0.291304072360886,2
SYP,1.51389942746227,0.130051349375043,0.32176240860037,0.320840671673699,3
GLT8D1,1.51336333904721,0.130187391935533,0.322025236475298,0.0644529641977088,3
STK10,-1.51313523806729,0.130245310349862,0.322094744139014,-0.182389630258083,2
SLC25A22,-1.51282187955622,0.130324909588723,0.322217824073561,-0.241074451393829,4
FNDC8,1.51250833813621,0.130404593066527,0.322341055904949,0.30458662607251,3
SMARCC1,-1.51200003848438,0.130533852750595,0.322586748435582,-0.135943394771374,4
LBX1,1.51177228930199,0.130591801194092,0.322656138265916,0.185735115879399,4
