gene,logFC,AveExpr,t,P.Value,adj.P.Val,B,cohort,disease
OARD1,0.435314344531573,5.62520565340168,2.8429741989972,0.00784952827734023,0.94624455191332,-3.88251248451901,GSE7158,OP
CD2AP,0.480786807459048,6.48613368002306,2.84238058969742,0.00786107890236767,0.94624455191332,-3.88280437324225,GSE7158,OP
LYRM2,0.346320841702001,6.15403603361243,2.83787173160952,0.00794933613638574,0.94624455191332,-3.88502094593006,GSE7158,OP
MIR9-3HG,0.71757181488387,2.73166439759526,2.82953173064956,0.0081150420306786,0.94624455191332,-3.88911849704695,GSE7158,OP
HEXIM2,0.44175854924439,5.96318288789807,2.82600292191027,0.00818612677746084,0.94624455191332,-3.89085128852784,GSE7158,OP
POLR2J3,-0.767094562889307,3.78550511772014,-2.82364044864866,0.0082340428129909,0.94624455191332,-3.89201103966141,GSE7158,OP
LINC00312,-0.558601928900066,4.78551655602319,-2.82066799078595,0.00829470451023723,0.94624455191332,-3.89346986757436,GSE7158,OP
MYH1,-0.848899318835845,2.47076343155971,-2.80673745028813,0.00858462503013086,0.94624455191332,-3.90030119249037,GSE7158,OP
DCAF4L1,0.794360537787087,2.11974649892796,2.80467637291064,0.00862831808892579,0.94624455191332,-3.90131113052224,GSE7158,OP
TRIM74,0.592289419323587,5.31010228092727,2.80466680515048,0.0086285214023357,0.94624455191332,-3.90131581829654,GSE7158,OP
SCML4,-0.632960827585372,5.21681635552585,-2.80218755467706,0.00868135667698387,0.94624455191332,-3.90253039168762,GSE7158,OP
LGALS4,0.980483641627307,2.71437599230997,2.79915775352055,0.00874633637224584,0.94624455191332,-3.90401427459807,GSE7158,OP
GK,0.41314177037529,6.05650279955468,2.79779340356396,0.00877574594675326,0.94624455191332,-3.90468233676591,GSE7158,OP
KHK,-0.585296214459193,4.97251997626468,-2.79508237282805,0.0088344593716596,0.94624455191332,-3.90600954048571,GSE7158,OP
SLN,0.746870356508816,4.31039139700046,2.79481133224923,0.00884034955047318,0.94624455191332,-3.90614221054828,GSE7158,OP
HERC5,0.543194302958057,6.6343988404888,2.79163659536035,0.00890961648707106,0.94624455191332,-3.90769592608096,GSE7158,OP
TAP1,0.291242248407851,7.96395741171872,2.78864633041372,0.00897532313350975,0.94624455191332,-3.90915890808393,GSE7158,OP
MTRES1,-0.442132324056308,5.31183509314198,-2.78695070098744,0.00901278340043552,0.94624455191332,-3.90998829572966,GSE7158,OP
SNX8,0.383042939214039,5.80992946732919,2.78342493565468,0.00909114460308188,0.94624455191332,-3.91171240588145,GSE7158,OP
UBE2L6,0.318375849241166,8.82835277633127,2.77994701923935,0.00916906682008888,0.94624455191332,-3.91341251049513,GSE7158,OP
SCARF1,0.377054805585624,6.2652910257983,2.7796737847183,0.00917521500964123,0.94624455191332,-3.91354604965162,GSE7158,OP
CMPK2,0.582052795029946,8.22050310810247,2.78631386311452,0.0092619386295175,0.94624455191332,-3.91720512693893,GSE7158,OP
EHMT1,-0.278336612397688,6.71462786389586,-2.77527414058883,0.00927474638989368,0.94624455191332,-3.91569579069408,GSE7158,OP
DNAAF11,0.833485432485179,4.87716722783568,2.77290038783159,0.00932886551810831,0.94624455191332,-3.9168552406325,GSE7158,OP
MAN2C1,0.323151134657515,6.49730394603305,2.77145258772492,0.00936201877040915,0.94624455191332,-3.91756227234232,GSE7158,OP
LOC101929621,0.922837801503477,2.65032132422156,2.769514538717,0.00940657078945948,0.94624455191332,-3.91850854954202,GSE7158,OP
TES,-0.297288774553046,9.17801874462222,-2.76820340038982,0.00943682371228612,0.94624455191332,-3.91914862083795,GSE7158,OP
SPIRE2,-0.939945318944979,3.86017523264147,-2.76778299399695,0.00944654332946816,0.94624455191332,-3.91935383614094,GSE7158,OP
INO80C,0.345621803118653,6.09119790488329,2.76631863417078,0.00948047185569344,0.94624455191332,-3.92006857148919,GSE7158,OP
WDFY1,0.258628603966153,8.12631223269471,2.76393569278548,0.0095359271824029,0.94624455191332,-3.92123141925788,GSE7158,OP
PRICKLE4,-0.185862908469637,9.43331787016018,-2.76375942773158,0.00954004121120388,0.94624455191332,-3.92131742294567,GSE7158,OP
KCNK9,-0.859916822533399,2.76648676300161,-2.76086979122488,0.00960772240876321,0.94624455191332,-3.92272711283256,GSE7158,OP
LINC01600,-0.878699445082119,2.70735984563058,-2.75903913815459,0.00965083203537664,0.94624455191332,-3.92361996091899,GSE7158,OP
