key,pmid,doi,title,authors,journal,year,volume,issue,pages,cited_by,loose_match,query
benjamini1995_bh,,10.1111/j.2517-6161.1995.tb02031.x,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,"Benjamini Y, Hochberg Y.",Journal of the Royal Statistical Society Series B: Statistical Methodology,1995,57,,289-300,,,
ramos2014_gse57218,25054223,10.1371/journal.pone.0103056,Genes involved in the osteoarthritis process identified through genome wide expression analysis in articular cartilage; the RAAK study,"Ramos YF, den Hollander W, Bovée JV, Bomer N, van der Breggen R, Lakenberg N, Keurentjes JC, Goeman JJ, Slagboom PE, Nelissen RG, Bos SD, Meulenbelt I.",PloS one,2014,9,7,e103056,146,,"(TITLE:""Genes involved in the osteoarthritis process identified through genome wide expression analysis in articular cartilage"") AND SRC:MED"
liu2005_gse56815,18924182,10.1002/pmic.200700480,Proteomic analysis of circulating monocytes in Chinese premenopausal females with extremely discordant bone mineral density,"Deng FY, Liu YZ, Li LM, Jiang C, Wu S, Chen Y, Jiang H, Yang F, Xiong JX, Xiao P, Xiao SM, Tan LJ, Sun X, Zhu XZ, Liu MY, Lei SF, Chen XD, Xie JY, Xiao GG, Liang SP, Deng HW.",Proteomics,2008,8,20,4259-4272,42,,"((TITLE:""circulating monocytes"" OR TITLE:""peripheral blood monocytes"") AND TITLE:""bone mineral density"") AND SRC:MED"
xiao2008_gse7158,19223260,10.1016/j.bone.2008.05.016,"An in vivo genome wide gene expression study of circulating monocytes suggested GBP1, STAT1 and CXCL10 as novel risk genes for the differentiation of peak bone mass","Lei SF, Wu S, Li LM, Deng FY, Xiao SM, Jiang C, Chen Y, Jiang H, Yang F, Tan LJ, Sun X, Zhu XZ, Liu MY, Liu YZ, Chen XD, Deng HW.",Bone,2009,44,5,1010-1014,48,,"(TITLE:""peak bone mass"" AND (TITLE:""gene expression"" OR TITLE:""monocyte"")) AND SRC:MED"
subramanian2005_gsea,16199517,10.1073/pnas.0506580102,Gene set enrichment analysis: a knowledge-based approach for interpreting genome-wide expression profiles,"Subramanian A, Tamayo P, Mootha VK, Mukherjee S, Ebert BL, Gillette MA, Paulovich A, Pomeroy SL, Golub TR, Lander ES, Mesirov JP.",Proceedings of the National Academy of Sciences of the United States of America,2005,102,43,15545-15550,41912,,"TITLE:""Gene set enrichment analysis: a knowledge-based approach for interpreting genome-wide expression profiles"" AND SRC:MED"
ashburner2000_go,10802651,10.1038/75556,Gene ontology: tool for the unification of biology. The Gene Ontology Consortium,"Ashburner M, Ball CA, Blake JA, Botstein D, Butler H, Cherry JM, Davis AP, Dolinski K, Dwight SS, Eppig JT, Harris MA, Hill DP, Issel-Tarver L, Kasarskis A, Lewis S, Matese JC, Richardson JE, Ringwald M, Rubin GM, Sherlock G.",Nature genetics,2000,25,1,25-29,32154,,"TITLE:""Gene ontology: tool for the unification of biology"" AND SRC:MED"
jassal2020_reactome,31691815,10.1093/nar/gkz1031,The reactome pathway knowledgebase,"Jassal B, Matthews L, Viteri G, Gong C, Lorente P, Fabregat A, Sidiropoulos K, Cook J, Gillespie M, Haw R, Loney F, May B, Milacic M, Rothfels K, Sevilla C, Shamovsky V, Shorser S, Varusai T, Weiser J, Wu G, Stein L, Hermjakob H, D'Eustachio P.",Nucleic acids research,2020,48,D1,D498-D503,2339,,"TITLE:""The reactome pathway knowledgebase"" AND SRC:MED"
robin2011_proc,21414208,10.1186/1471-2105-12-77,pROC: an open-source package for R and S+ to analyze and compare ROC curves,"Robin X, Turck N, Hainard A, Tiberti N, Lisacek F, Sanchez JC, Müller M.",BMC bioinformatics,2011,12,,77,9534,,"TITLE:""pROC: an open-source package for R and S+ to analyze and compare ROC curves"" AND SRC:MED"
delong1988_auc,3203132,10.2307/2531595,Comparing the areas under two or more correlated receiver operating characteristic curves: a nonparametric approach,"DeLong ER, DeLong DM, Clarke-Pearson DL.",Biometrics,1988,44,3,837-845,16040,,"TITLE:""Comparing the areas under two or more correlated receiver operating characteristic curves"" AND SRC:MED"
op_oa_inverse_meta,34166859,10.1016/j.bone.2021.116068,"Osteoporosis, fracture, osteoarthritis &amp; sarcopenia: A systematic review of circulating microRNA association","Jones TL, Esa MS, Li KHC, Krishnan SRG, Elgallab GM, Pearce MS, Young DA, Birrell FN.",Bone,2021,152,,116068,38,,"((TITLE:""osteoarthritis"" AND TITLE:""osteoporosis"") AND (TITLE:""meta-analysis"" OR TITLE:""systematic review"")) AND SRC:MED"
hip_fracture_oa_risk,16874784,10.1002/art.22088,"Knee pain, knee osteoarthritis, and the risk of fracture","Arden NK, Crozier S, Smith H, Anderson F, Edwards C, Raphael H, Cooper C.",Arthritis and rheumatism,2006,55,4,610-615,131,,"(TITLE:""osteoarthritis"" AND TITLE:""fracture"" AND TITLE:""risk"") AND SRC:MED"
